#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::EP0864","rambling","","","adjective","","ˈræmblɪŋ","","(Of speech or writing) lengthy and confused or inconsequential; wandering.","In this episode I'm just going to be rambling about lots of stuff.","He wrote a long, rambling letter to his parents.","Her speech was a bit rambling and hard to follow.","C1"
"AllEnglish::LEP::EP0864","spontaneously","","","adverb","","spɒnˈteɪniəsli","","In a way that is not planned or arranged in advance.","I know that a lot of my listeners actually prefer the episodes where I just talk spontaneously.","The crowd spontaneously began to sing.","He decided to go to Paris spontaneously.","B2"
"AllEnglish::LEP::EP0864","tune one's ear","","","idiom","","tjuːn wʌnz ɪə","","To accustom one's hearing to a particular sound or language.","It's also really important to tune your ear to the sounds of spontaneous spoken English.","It took a while to tune my ear to the local dialect.","Listening to the radio helps tune your ear to the language.","C2"
"AllEnglish::LEP::EP0864","stream of consciousness","","","noun phrase","","striːm əv ˈkɒnʃəsnəs","","A literary style in which a character's thoughts, feelings, and reactions are depicted in a continuous flow uninterrupted by objective description or conventional dialogue.","This is just me kind of saying my thoughts out loud, a sort of stream of consciousness really.","The novel is written in a stream of consciousness style.","His speech was a bit of a stream of consciousness.","C2"
"AllEnglish::LEP::EP0864","let loose","","","idiom","","let luːs","","To behave in an uncontrolled or uninhibited way; to release.","I love doing these rambling episodes because really it's just a chance for me to let loose.","After the exams, the students really let loose at the party.","Don't let loose your anger on him.","C2"
"AllEnglish::LEP::EP0864","go with the flow","","","idiom","","gəʊ wɪð ðə fləʊ","","To be relaxed and accept a situation rather than trying to control or change it.","It's a chance for me to kind of go with the flow and just try to verbalize my thoughts.","I didn't have a plan, I just decided to go with the flow.","Relax and go with the flow.","B2"
"AllEnglish::LEP::EP0864","verbalize","","","verb","","ˈvɜːbəlaɪz","","To express (ideas or feelings) in words, especially by speaking out loud.","I try to verbalize my thoughts.","He found it hard to verbalize his feelings.","She needs to verbalize her anger to get over it.","C1"
"AllEnglish::LEP::EP0864","coherent","","","adjective","","kəʊˈhɪərənt","","(Of an argument, theory, or policy) logical and consistent.","I try to keep everything coherent and just keep talking all the way through.","He failed to develop a coherent strategy.","The speaker was not very coherent.","C1"
"AllEnglish::LEP::EP0864","ingrained","","","adjective","","ɪnˈgreɪnd","","(Of a habit, belief, or attitude) firmly fixed or established; difficult to change.","It's a deeply ingrained habit really.","Prejudices are often deeply ingrained.","Dirt was ingrained in his hands.","C2"
"AllEnglish::LEP::EP0864","cold snap","","","noun phrase","","kəʊld snæp","","A sudden, short period of very cold weather.","We've suddenly got this cold snap, so that's like a short period of cold weather.","The garden suffered during the recent cold snap.","We are expecting a cold snap next week.","C1"
"AllEnglish::LEP::EP0864","mild","","","adjective","","maɪld","","(Of weather) moderately warm, especially less cold than expected.","The winters are milder and milder.","It has been a very mild winter.","We went for a walk in the mild sunshine.","B1"
"AllEnglish::LEP::EP0864","fiddly","","","adjective","","ˈfɪdli","","Awkward or difficult to handle because of many small parts or details.","I have to unlock the door of the sink room, it's a bit fiddly.","This clasp is very fiddly to fasten.","Repairing watches is fiddly work.","C1"
"AllEnglish::LEP::EP0864","growth spurt","","","noun phrase","","grəʊθ spɜːt","","A rapid increase in growth (height and weight) typically occurring during infancy or adolescence.","I think it triggered a growth spurt in him.","Boys often have a growth spurt in their teens.","She's had a growth spurt and needs new clothes.","C1"
"AllEnglish::LEP::EP0864","teething","","","noun/verb","","ˈtiːðɪŋ","","The process of growing teeth, especially milk teeth in babies.","I think he's teething which means his teeth are starting to push through.","The baby is teething and very grumpy.","Teething can be painful for infants.","C1"
