#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::EP0908","bits and bobs","","","noun phrase","Informal","[bɪts ənd bɒbz]","","Small things or jobs of various kinds; miscellaneous items.","I have a few bits and bobs to finish before I can leave work.","The drawer is full of bits and bobs like screws and batteries.","We talked about various bits and bobs during the podcast.","C1"
"AllEnglish::LEP::EP0908","hanged","","","verb","Past Participle","[hæŋd]","","Killed by suspension from a rope around the neck (past participle of 'hang' in this context).","The murderer was hanged for his crimes in the 19th century.","He was sentenced to be hanged by the neck until dead.","People are hanged; pictures are hung.","C1"
"AllEnglish::LEP::EP0908","hung","","","verb","Past Participle","[hʌŋ]","","Suspended or attached to a wall (past participle of 'hang' for objects).","She hung the painting above the fireplace.","The clothes were hung on the line to dry.","He hung his head in shame.","B2"
"AllEnglish::LEP::EP0908","pedantic","","","adjective","","[pɪˈdæntɪk]","","Excessively concerned with minor details or rules; overscrupulous.","I don't want to be pedantic, but you made a small grammatical error.","His pedantic approach to the rules annoyed everyone.","Technically you are right, but you are being a bit pedantic.","C2"
"AllEnglish::LEP::EP0908","nitpick","","","verb","","[ˈnɪtpɪk]","","To find or point out minor faults in a fussy or pedantic way.","Stop nitpicking and look at the overall quality of the work.","He loves to nitpick about the tiniest details in movies.","She is always nitpicking my pronunciation.","C2"
"AllEnglish::LEP::EP0908","gotten","","","verb","US English","[ˈgɒtən]","","The past participle of 'get' in American English (used to indicate becoming or acquiring).","It has gotten much colder recently.","I haven't gotten around to doing it yet.","They have gotten a new car.","B2"
"AllEnglish::LEP::EP0908","have got","","","verb phrase","UK English","[hæv gɒt]","","To possess or own (synonymous with 'have').","I have got a new computer.","Have you got any money?","She's got a lot of friends.","A2"
"AllEnglish::LEP::EP0908","try doing","","","verb pattern","Grammar","[traɪ ˈduːɪŋ]","","To experiment with an action to see if it works or solves a problem.","If the TV isn't working, try plugging it into a different socket.","I tried taking aspirin, but the headache didn't go away.","Try adding some salt to improve the flavor.","B2"
"AllEnglish::LEP::EP0908","try to do","","","verb pattern","Grammar","[traɪ tuː duː]","","To attempt to perform an action that requires effort or is difficult.","I'm trying to learn Chinese, but it's very hard.","He tried to lift the heavy box but couldn't.","Please try to be on time tomorrow.","B2"
"AllEnglish::LEP::EP0908","stop doing","","","verb pattern","Grammar","[stɒp ˈduːɪŋ]","","To cease or quit an action or habit.","He stopped smoking last year.","Please stop talking during the movie.","It has stopped raining.","B1"
"AllEnglish::LEP::EP0908","stop to do","","","verb pattern","Grammar","[stɒp tuː duː]","","To pause an ongoing activity in order to perform a different action (purpose).","We stopped to have lunch at a roadside cafe.","He stopped walking to tie his shoelace.","She stopped to answer the phone.","B2"
