#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
AllEnglish::LEP::EP0989,Word,Part of Speech,Grammar,Pronunciation/IPA,Definition,Example 1,Example 2,Example 3,Tags
"AllEnglish::LEP::EP0989","skip","noun","countable","/skɪp/","A large metal container used for household rubbish or building waste.","Would you rather sleep in a skip for a week?","The builders threw all the rubble into the skip.","We need to hire a skip when we clear out the garage.","B2"
"AllEnglish::LEP::EP0989","self-explanatory","adjective","","/ˌself ɪkˈsplænətri/","Easy to understand and not needing more explanation.","It's called Crazy Questions, which should be pretty self-explanatory.","The instructions on the box are self-explanatory.","I think the title of the graph is self-explanatory.","C1"
"AllEnglish::LEP::EP0989","throw in","verb","phrasal verb","/θrəʊ ɪn/","To add something to a conversation or offer without planning or for free.","I've got a few philosophical ideas thrown in there too.","The dealer threw in a free set of tyres with the car.","She threw in a funny comment at the end of her speech.","B2"
"AllEnglish::LEP::EP0989","in the company of","phrase","","/ɪn ðə ˈkʌmpəni əv/","Together with someone.","I hope you like spending time in the company of my daughter.","He feels nervous in the company of strangers.","I spent the evening in the company of good friends.","B2"
"AllEnglish::LEP::EP0989","fluent","adjective","","/ˈfluːənt/","Able to speak or write a language smoothly and easily.","She's so good at talking, and so fluent.","He is fluent in both French and English.","You need to be a fluent speaker for this job.","B2"
"AllEnglish::LEP::EP0989","absurd","adjective","","/əbˈsɜːd/","Completely ridiculous or unreasonable.","It was a series of slightly ridiculous, absurd questions.","It seems absurd to pay so much for a coffee.","The whole situation became completely absurd.","B2"
"AllEnglish::LEP::EP0989","keen","adjective","followed by to + infinitive","/kiːn/","Very interested, eager, or wanting (to do) something very much.","You're really keen to do this.","She is keen to start her new job.","John is very keen on playing tennis.","B2"
"AllEnglish::LEP::EP0989","whatsoever","adverb","used after a negative","/ˌwɒtsəʊˈevə/","At all (used to emphasize a negative statement).","You've got no sense of time whatsoever.","I have no doubt whatsoever about her ability.","There is no evidence whatsoever to support this claim.","C1"
"AllEnglish::LEP::EP0989","swish","verb","intransitive/transitive","/swɪʃ/","To move quickly through the air making a soft sound.","Dresses get to swish from side to side.","The horse swished its tail to get rid of the flies.","He swished his sword through the air.","C1"
"AllEnglish::LEP::EP0989","peckish","adjective","informal","/ˈpekɪʃ/","Slightly hungry.","You can just have a little snack if you feel peckish.","I'm feeling a bit peckish, let's get some biscuits.","By 11 a.m. everyone was starting to feel peckish.","C1"
"AllEnglish::LEP::EP0989","manufacture","verb","transitive","/ˌmænjəˈfæktʃə/","To produce goods in large numbers, usually in a factory using machines.","You could start manufacturing and selling spaghetti.","The company manufactures electronic components.","They manufacture a wide range of products here.","B2"
"AllEnglish::LEP::EP0989","make a living","phrase","","/meɪk ə ˈlɪvɪŋ/","To earn enough money to buy the things you need.","You'd have to produce a lot of spaghetti to actually make a living.","It is hard to make a living as a freelance artist.","He makes a living by selling second-hand cars.","B2"
"AllEnglish::LEP::EP0989","take up","verb","phrasal verb","/teɪk ʌp/","To fill or use an amount of space or time.","My tongue is taking a lot of space in my mouth.","This huge table takes up too much room.","I don't want to take up too much of your time.","B2"
"AllEnglish::LEP::EP0989","chapped","adjective","","/tʃæpt/","(Of skin) dry, red, and painful, especially because of cold weather.","Sometimes you get chapped skin underneath your bottom lip.","I need some lip balm for my chapped lips.","My hands get very chapped in the winter.","C1"
"AllEnglish::LEP::EP0989","habitually","adverb","","/həˈbɪtʃuəli/","In a way that is a habit or is done constantly.","You habitually lick your bottom lip.","He is habitually late for meetings.","She habitually checks her phone every five minutes.","C1"
"AllEnglish::LEP::EP0989","rubble","noun","uncountable","/ˈrʌbl/","The piles of broken stone and bricks, etc. that are left when a building is destroyed.","Bits of rubble or rock that get taken out of the house get put in the skip.","The earthquake reduced the city to rubble.","Rescuers searched through the rubble for survivors.","C1"
"AllEnglish::LEP::EP0989","diagonal","adjective","","/daɪˈæɡənl/","A straight line joining two opposite corners of a square, rectangle, or other flat shape.","It's kind of like got diagonal ends.","Draw a diagonal line across the page.","The path goes in a diagonal direction across the park.","B2"
"AllEnglish::LEP::EP0989","vital","adjective","","/ˈvaɪtl/","Absolutely necessary or important; essential.","Sleep is absolutely vital for your mental health.","It is vital that you keep accurate records.","Water is vital for all living organisms.","B2"
