#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
AllEnglish::LEP::P18,"take the piss out of","","","idiom","separable","[teɪk ðə pɪs aʊt ɒv]","","To mock, tease, or make fun of someone, often in a friendly or joking way (British slang).","They always take the piss out of him for supporting that football team.","Don't get upset, I was only taking the piss.","He takes the piss out of himself before anyone else can.","C1"
AllEnglish::LEP::P18,"mercilessly","","","adverb","","[ˈmɜːsɪləsli]","","In a way that shows no mercy; cruelly or without stopping.","The sun beat down mercilessly on the desert.","He was teased mercilessly by his older brothers.","The comedian mocked the politicians mercilessly.","C2"
AllEnglish::LEP::P18,"lenient","","","adjective","","[ˈliːniənt]","","(Of a punishment or person in authority) more merciful or tolerant than expected; not strict.","The judge was surprisingly lenient with the first-time offender.","My parents were quite lenient about my curfew.","The teacher is too lenient with the noisy students.","C1"
AllEnglish::LEP::P18,"comprehensive","","","adjective","","[ˌkɒmprɪˈhɛnsɪv]","","Complete; including all or nearly all elements or aspects of something.","He gave a comprehensive explanation of the new rules.","The book provides a comprehensive guide to British birds.","We need a comprehensive strategy to tackle the problem.","B2"
AllEnglish::LEP::P18,"gag","","","noun","countable","[ɡæɡ]","","A joke or a funny story, especially one told by a professional comedian.","He had some good gags about his parents in the show.","The movie is full of visual gags.","She told a few gags to warm up the audience.","C1"
AllEnglish::LEP::P18,"script","","","noun","countable","[skrɪpt]","","The written text of a play, movie, or broadcast.","Do you think it was all a script or was it improvised?","The actors read through the script before filming.","He writes scripts for television sitcoms.","B2"
AllEnglish::LEP::P18,"improvised","","","adjective","","[ˈɪmprəvaɪzd]","","Created and performed spontaneously or without preparation.","The scene was completely improvised by the actors.","We had to build an improvised shelter from branches.","His speech was improvised but very effective.","B2"
AllEnglish::LEP::P18,"synopsis","","","noun","countable","[sɪˈnɒpsɪs]","","A brief summary or general survey of something; an outline of the plot of a book, play, movie, or episode.","What's the basic synopsis of the show?","Can you give me a quick synopsis of the meeting?","The back of the book contains a synopsis of the story.","C1"
AllEnglish::LEP::P18,"conceit","","","noun","countable","[kənˈsiːt]","","An ingenious or fanciful comparison or metaphor; in entertainment, the central premise or idea of a story.","The conceit is that the main character runs a bookshop but hates customers.","The movie's central conceit is that time runs backwards.","It's a clever conceit, but the execution is poor.","C2"
AllEnglish::LEP::P18,"mascot","","","noun","countable","[ˈmæskɒt]","","A person, animal, or object that is believed to bring good luck, or one that represents an organization.","I tell you what your podcast needs - some sort of mascot.","The team's mascot is a giant bear.","He became the unofficial mascot of the campaign.","B2"
AllEnglish::LEP::P18,"glory hunter","","","noun","countable","[ˈɡlɔːri ˈhʌntə]","","A person who seeks personal praise, success, or association with winning teams, often without doing the hard work (often used in sports).","He never passes the ball; he's just a glory hunter.","Most of their fans are just glory hunters who only watch when they win.","Don't be a glory hunter; support the team even when they lose.","C2"
AllEnglish::LEP::P18,"pitch","","","verb/noun","transitive/countable","[pɪtʃ]","","To present or describe a product or idea to someone in order to persuade them to buy or accept it.","I had to pitch the idea to our investors at the meeting.","She made a great pitch for the new marketing campaign.","He pitched a new sitcom to the network executives.","B2"
AllEnglish::LEP::P18,"on the spot","","","idiom","","[ɒn ðə spɒt]","","Immediately; without delay or preparation.","I made most of it up on the spot.","He was hired on the spot.","The questions put him on the spot.","B2"
AllEnglish::LEP::P18,"character arc","","","noun","countable","[ˈkærɪktər ɑːk]","","The transformation or inner journey of a character over the course of a story.","I really don't like Monica's character arc in Friends.","A good character arc makes the hero's journey compelling.","His character arc from villain to hero was well written.","C1"
AllEnglish::LEP::P18,"on board","","","phrase","","[ɒn bɔːd]","","Agreeing with or supporting a project, idea, or group; participating.","This actress is fully on board with the project.","We need to get the manager on board before we proceed.","Welcome on board the team.","B2"
AllEnglish::LEP::P18,"imposter syndrome","","","noun","uncountable","[ɪmˈpɒstə ˈsɪndrəʊm]","","The persistent inability to believe that one's success is deserved or has been legitimately achieved as a result of one's own efforts.","I suffered from massive amounts of imposter syndrome when I started.","Many high achievers suffer from imposter syndrome.","She felt like a fraud due to imposter syndrome.","C2"
AllEnglish::LEP::P18,"audition","","","noun/verb","countable/intransitive","[ɔːˈdɪʃən]","","An interview for a role or job as a singer, actor, dancer, or musician, consisting of a practical demonstration of the candidate's suitability and skill.","I had to audition for my own role.","She has an audition for a Broadway play tomorrow.","Hundreds of actors auditioned for the part.","B2"
AllEnglish::LEP::P18,"starstruck","","","adjective","","[ˈstɑːstrʌk]","","Fascinated or overwhelmed by the presence of a famous person.","I was completely starstruck when I met Dave Chappelle.","She gets starstruck whenever she sees a celebrity.","He tried not to look starstruck in front of the director.","C1"
AllEnglish::LEP::P18,"pre-teach","","","verb","transitive","[priː tiːtʃ]","","To teach language or concepts to students before they encounter them in a text or activity.","I am doing what we call 'pre-teaching' of language.","The teacher pre-taught the difficult vocabulary.","Pre-teaching helps students understand the listening task better.","C2"
AllEnglish::LEP::P18,"noticing","","","noun","uncountable","[ˈnəʊtɪsɪŋ]","","The process of paying conscious attention to language features in input (ELT concept).","Noticing is a very important part of your English learning process.","Activities that promote noticing can improve grammar accuracy.","He emphasized the importance of noticing in language acquisition.","C2"
AllEnglish::LEP::P18,"mindful","","","adjective","","[ˈmaɪndfʊl]","","Conscious or aware of something.","This is about being mindful of language as you are listening.","Be mindful of the gap between the train and the platform.","She is mindful of her responsibilities.","C1"
AllEnglish::LEP::P18,"slimline","","","adjective","","[ˈslɪmlaɪn]","","Slender in line or build; (metaphorically) reduced in size or content.","This is a slimline version of the usual episode.","They released a slimline version of the console.","The company adopted a slimline management structure.","C2"
AllEnglish::LEP::P18,"express edition","","","noun phrase","countable","[ɪkˈsprɛs ɪˈdɪʃən]","","A version of something produced quickly or designed for speed.","So this is like an express edition of the podcast.","I bought the express edition of the newspaper.","We need an express edition of the report by noon.","B2"
AllEnglish::LEP::P18,"nuance","","","noun","countable","[ˈnjuːɑːns]","","A subtle difference in or shade of meaning, expression, or sound.","Japanese comedy has nuances that are hard to translate.","You need to understand the nuances of the language.","Her performance was full of nuance.","C1"
AllEnglish::LEP::P18,"culture shock","","","noun","uncountable","[ˈkʌltʃə ʃɒk]","","The feeling of disorientation experienced by someone who is suddenly subjected to an unfamiliar culture, way of life, or set of attitudes.","He experienced culture shock when he moved to Tokyo.","Culture shock can affect anyone living abroad.","The culture shock wore off after a few months.","B2"
AllEnglish::LEP::P18,"bureaucracy","","","noun","uncountable","[bjʊəˈrɒkrəsi]","","Excessively complicated administrative procedure, seen as characteristic of a bureaucracy.","Dealing with the bureaucracy in Japan can be frustrating.","We need to reduce unnecessary bureaucracy.","The project was delayed by government bureaucracy.","C1"
AllEnglish::LEP::P18,"red tape","","","idiom","uncountable","[rɛd teɪp]","","Excessive bureaucracy or adherence to rules and formalities.","There is a lot of red tape involved in starting a business here.","We managed to cut through the red tape.","The application process is full of red tape.","C1"
AllEnglish::LEP::P18,"stereotype","","","noun","countable","[ˈstɛrɪətaɪp]","","A widely held but fixed and oversimplified image or idea of a particular type of person or thing.","Sitcoms often rely on stereotypes for humor.","We need to challenge gender stereotypes.","It's a stereotype that British people only drink tea.","B2"
AllEnglish::LEP::P18,"cliché","","","noun","countable","[ˈkliːʃeɪ]","","A phrase or opinion that is overused and betrays a lack of original thought.","The ending was a bit of a cliché.","Avoid using clichés in your writing.","It's a cliché, but time really does fly.","C1"
AllEnglish::LEP::P18,"banter","","","noun","uncountable","[ˈbæntə]","","The playful and friendly exchange of teasing remarks.","The show features a lot of banter between the hosts.","I enjoy the banter with my colleagues.","It was just harmless banter.","C2"
AllEnglish::LEP::P18,"punchline","","","noun","countable","[ˈpʌntʃlaɪn]","","The final phrase or sentence of a joke or story, providing the humor or some other crucial element.","He forgot the punchline of the joke.","The audience laughed before he even delivered the punchline.","Wait for the punchline; it's the best part.","B2"
AllEnglish::LEP::P18,"heckle","","","verb","transitive","[ˈhɛkl]","","To interrupt (a public speaker) with derisive or aggressive comments or abuse.","Stand-up comedians sometimes get heckled by drunk audience members.","He was heckled during his speech.","She knows how to deal with people who heckle her.","C2"
AllEnglish::LEP::P18,"deadpan","","","adjective","","[ˈdɛdpæn]","","Deliberately impassive or expressionless (often used for comedic delivery).","He has a very deadpan style of humor.","She delivered the joke with a deadpan expression.","Deadpan comedy is popular in Britain.","C2"
AllEnglish::LEP::P18,"slapstick","","","noun","uncountable","[ˈslæpstɪk]","","Comedy based on deliberately clumsy actions and humorously embarrassing events.","The movie is full of physical comedy and slapstick.","Kids usually love slapstick humor.","Charlie Chaplin was a master of slapstick.","C1"
AllEnglish::LEP::P18,"observational comedy","","","noun","uncountable","[ˌɒbzəˈveɪʃənl ˈkɒmədi]","","A form of humor based on the commonplace aspects of everyday life.","Jerry Seinfeld is famous for his observational comedy.","She does observational comedy about being a parent.","Observational comedy relies on 'Have you ever noticed?' moments.","C2"
AllEnglish::LEP::P18,"pilot","","","noun","countable","[ˈpaɪlət]","","A television program made to test audience reaction with a view to the production of a series.","They filmed a pilot for the new sitcom.","The network ordered a pilot of the show.","If the pilot is successful, they will make a full season.","B2"
