#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:15
A2[|!w(%MQ	JPCARDS	LEP::P001	farce	8f4e1a2b	1	noun		/fɑːs/		A ridiculous situation or event; especially a comedy based on unlikely situations	Terry &amp; June was a suburban farce	The meeting turned into a complete farce	The whole situation became an absolute farce	duplicate
rOs_]v[t$^	JPCARDS	LEP::P001	stubble	6a9b0c3d	4	noun		/ˈstʌbəl/		Short, stiff hairs growing on a man's face when he hasn't shaved recently	I was always having to clean up his stubble	His face was covered in dark stubble	Three days of stubble covered his chin	duplicate
hi/YsuJ_vI	JPCARDS	LEP::P001	in-depth	5d7e2f1a	5	adjective		/ɪn ˈdepθ/		Thorough and detailed	We'd often have quite in-depth conversations	The researcher conducted an in-depth analysis	They had an in-depth discussion about politics	duplicate
E@uXhA*|XV	JPCARDS	LEP::P001	gnaw	1b2c3d4e	9	verb		/nɔː/		To bite or chew something persistently	The rabbit would gnaw at the bars of its cage	The dog was always gnawing on the furniture	Mice had gnawed through the cables	duplicate
rf`%R2a@>!	JPCARDS	LEP::P001	consolidation	9e8d7c6b	11	noun		/kənˌsɒlɪˈdeɪʃən/		The process of making something stronger or more solid	Practice &amp; consolidation are important for learning	The consolidation of knowledge takes time	This exercise helps with grammar consolidation	duplicate
G-iiJK;W<<	JPCARDS	LEP::P001	auxiliary verbs	7d6e5f4c	13	noun	grammar term	/ɔːɡˈzɪliəri vɜːbz/		Helper verbs used to form questions, negatives and tenses	Auxiliary verbs are often contracted in speech	'Did' is an auxiliary verb in questions	We don't always hear auxiliary verbs clearly	duplicate
qN^_>1[TtR	JPCARDS	LEP::P001	utterance	6c5d4e3b	14	noun		/ˈʌtərəns/		A spoken word, statement, or vocal sound	The auxiliary verb is buried in the middle of the utterance	His utterances were hard to understand	She made a strange utterance	duplicate
noI-hd:`b=	JPCARDS	LEP::P001	connected speech	2d1c0b9a	18	noun phrase	pronunciation term	/kəˈnektɪd spiːtʃ/		The way words are linked together in natural speech	Listen for how I connect the words	Connected speech makes words sound different	Native speakers use connected speech naturally	duplicate
zp<dAW`$Xc	JPCARDS	LEP::P001	sentence stress	1c0b9a8d	19	noun phrase	pronunciation term	/ˈsentəns stres/		The emphasis given to certain words in a sentence	Try to repeat these with the same sentence stress as me	Sentence stress helps convey meaning	English has a specific pattern of sentence stress	duplicate
b:RRG&wA+N	JPCARDS	LEP::P002	downplay	7e5f8d2c	3	verb	phrasal verb	/ˌdaʊnˈpleɪ/		To minimize the importance or significance of something	You don't want to downplay any of the good stuff	She tends to downplay her achievements	The company tried to downplay the incident	duplicate
l!4[HeN(/=	JPCARDS	LEP::P002	doom and gloom	4b8c1d2e	6	noun phrase	idiom	/duːm ænd ɡluːm/		Extreme pessimism or negativity	You don't want to be one of those doom and gloom people	The economic forecast was all doom and gloom	Let's have less doom and gloom and more optimism	duplicate
Lo]wog<8L=	JPCARDS	LEP::P002	nauseating	3a6b9c1d	7	adjective		/ˈnɔːzieɪtɪŋ/		So extreme as to cause disgust or revulsion	You don't want to be a nauseating parent	Their public displays of affection were nauseating	The smell was absolutely nauseating	duplicate
c]Ouh:X?+w	JPCARDS	LEP::P002	sugarcoat	1b2c3d4e	9	verb		/ˈʃʊɡəkəʊt/		To make something unpleasant seem more appealing or positive	It's hard to work out if people are sugarcoating things	Don't sugarcoat the truth	The boss tried to sugarcoat the bad news	duplicate
Cm%~QLI0Vr	JPCARDS	LEP::P002	hardcore	2d1c0b9a	18	adjective	informal	/ˈhɑːdkɔː/		Very intense or demanding	When you work at a summer school, it's quite hardcore	She's a hardcore fitness enthusiast	The job requires hardcore dedication	duplicate
tPmNf,4JDj	JPCARDS	LEP::P002	formative	0b9a8d7e	20	adjective		/ˈfɔːmətɪv/		Having an important influence on development	It's a really formative experience	Those were her formative years	Travel can be a formative experience	duplicate
hWfsYK14h*	JPCARDS	LEP::P002	take the piss	1a2b3c4d	21	phrasal verb	informal	/teɪk ðə pɪs/		To mock or make fun of someone (British slang)	A lot of my friends take the piss out of me now	Don't take the piss, I'm being serious	They were just taking the piss	duplicate
ejF6*=$He&	JPCARDS	LEP::P002	rekindle	4d5e6f7g	24	verb		/riːˈkɪndl/		To revive or restart something	Any chance we could rekindle our friendship?	They tried to rekindle their relationship	He wanted to rekindle his interest in music	duplicate
w^JLE=wZ7G	JPCARDS	LEP::P003	stuffy	7e5f8d2c	3	adjective		/ˈstʌfi/		Formal and old-fashioned in attitude	Traditional weddings can be quite stuffy	The atmosphere at the club was stuffy	He found his colleagues rather stuffy	duplicate
r<34=1sb2c	JPCARDS	LEP::P003	solemn	4b8c1d2e	6	adjective		/ˈsɒləm/		Serious and dignified	The ceremony was very solemn	They maintained a solemn silence	It was a solemn occasion	duplicate
e&`j=N6P]P	JPCARDS	LEP::P003	incoherent	0a1b2c3d	10	adjective		/ˌɪnkəʊˈhɪərənt/		Unclear, disorganized, or difficult to understand	His speech was quite incoherent	She became incoherent with emotion	The explanation was rather incoherent	duplicate
