#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:15
KmVS++Yl%(	JPCARDS	English Profile Vocabulary::A1	he	vocab_1_he	JPCARDS	pronoun		/hiː/		used to refer to a man, boy or male animal that has already been mentioned	Don't ask Andrew, he won't know.<br>There's no need to be frightened - he's a very friendly dog.	He is from Hungary. (Skills for Life (Entry 1); A1; Slovak)		A1
vY2vgc;!@G	JPCARDS	English Profile Vocabulary::A1	walk	vocab_2_walk	JPCARDS	verb : I or T		/wɔːk/		to move forward by putting one foot in front of the other and then repeating the action	I walked home.<br>A cat was walking along the top of the fence.<br>He walks two kilometres to work every morning.	I like to walk by [the] River Exe. (Skills for Life (Entry 1); A1; Slovak)		A1
lu{6M>d<^w	JPCARDS	English Profile Vocabulary::A1	an	vocab_3_an	JPCARDS	determiner		/æn/		used instead of 'a' when the following word begins with a vowel sound	an easy question<br>an interesting story<br>an orange<br>an honour	She is an au pair in England. (Skills for Life (Entry 1); A1; French)		A1
xf~|K.f>ZB	JPCARDS	English Profile Vocabulary::A1	will	vocab_4_will	JPCARDS	modal verb		/wɪl/		used to talk about what someone or something is able or willing to do	I'll give you a lift.<br>I've asked her but she won't come.<br>The car won't start.	I'll cook for you. (Skills for Life (Entry 2); A2; Italian)		A1
P<,txO,<BK	JPCARDS	English Profile Vocabulary::A1	blue	vocab_5_blue	JPCARDS	adjective		/bluː/		being the same colour as the sky when there are no clouds	a dark/light/pale blue jacket<br>She has big blue eyes.	I like her long brown hair and blue eyes. (Skills for Life (Entry 1); A1; Albanian)		A1
xhtJ|7f^L4	JPCARDS	English Profile Vocabulary::A1	red	vocab_6_red	JPCARDS	adjective		/red/		being the same colour as blood	red lipstick<br>The dress was bright/dark red.	Op[p]osite [the] second bus stop is my house with [a] red door. (Skills for Life (Entry 2); A2; Czech)		A1
k4Q;G1/-%w	JPCARDS	English Profile Vocabulary::A1	difficult	vocab_7_difficult	JPCARDS	adjective		/ˈdɪf.ɪ.kəlt/		when something is not easy to do or understand	a difficult problem/choice/task<br>It will be very difficult to prove that they are guilty.<br>Many things make it difficult for women to reach the top in business.<br>He finds it extremely difficult being a single parent.	This book is very important because I have a difficult exam next Friday. (Key English Test; A2; Portuguese)		A1
ltCc3T^Bz{	JPCARDS	English Profile Vocabulary::A1	p.m.	vocab_8_p_m_	JPCARDS	adverb		/ˌpiːˈem/		used to refer to a time after midday but before midnight	We'll be arriving at about 4.30 p.m.<br>The 6 p.m. train is usually very crowded.	See you tomorrow at 7 p.m. (Skills for Life (Entry 1); A1; Portuguese)		A1
Lq-npiT5iY	JPCARDS	English Profile Vocabulary::A1	work	vocab_9_work	JPCARDS	noun		/wɜːk/		the place where you go to do your job	Do you have far to travel to work each day?<br>Thousands of people are seriously injured at work every year.<br>When does she leave for work?<br>What time do you start/finish work?	Finally, when he finish[es] work, he goes [to] a pub. (Skills for Life (Entry 1); A1; Italian)		A1
M?4!FJ28bU	JPCARDS	English Profile Vocabulary::A1	her	vocab_10_her	JPCARDS	determiner		/hɜːr/		belonging to or relating to someone female who has already been talked about	That's her house on the corner.<br>It's not her fault.	Ev[e]ry Sunday, she [goes] to see her mother. (Skills for Life (Entry 1); A1; Kurdish)		A1
n&=0ypmxRu	JPCARDS	English Profile Vocabulary::A1	alright	vocab_11_alright	JPCARDS	exclamation		/ɔːlˈraɪt/		used to agree to a suggestion or request	""How about going swimming?"" ""Alright.""<br>""Would you look after the children?"" ""Yes, alright.""<br>"			A1
ebre?L02>]	JPCARDS	English Profile Vocabulary::A1	it	vocab_12_it	JPCARDS	pronoun		/ɪt/		used as the subject or object of a verb to represent a phrase at the end of the sentence	I liked it in Scotland.<br>It's unlikely that she'll arrive on time.<br>It costs less if you travel at the weekend.	It's [a] nice place. (Skills for Life (Entry 1); A1; Italian)		A1
y(j.ii~Ho5	JPCARDS	English Profile Vocabulary::A1	get	vocab_13_get	JPCARDS	verb		/get/		to travel somewhere in a bus, train, taxi or other vehicle	Shall we get a taxi to the station?	You can get the train. (Key English Test; A2; French)		A1
"h2%c#gk(y/"	JPCARDS	English Profile Vocabulary::A1	today	vocab_14_today	JPCARDS	noun : U		/təˈdeɪ/		this day	Today is even hotter than yesterday!<br>Is that today's paper?	Today is my birthday. (Key English Test; A2; Chinese)		A1
i5@N5-eJ6{	JPCARDS	English Profile Vocabulary::A1	only	vocab_15_only	JPCARDS	adjective : always before noun		/ˈəʊn.li/		used to mean that there are not any others	This is our only chance.<br>I was the only person on the train.<br>Is this really the only way to do it?<br>The only thing that matters is that the baby is healthy.<br>It was the only thing I could do under the circumstances.<br>Rita was the only person to complain.	I am the only French student in my class. (Skills for Life (Entry 1); A1; French)		A1
o*~m<p}RyJ	JPCARDS	English Profile Vocabulary::A1	call	vocab_16_call	JPCARDS	verb		/kɔːl/		to have a particular name	a boy called Adam<br>Their latest album is called ""In Rainbows"".	My friend is called Jessica. (Skills for Life (Entry 1); A1; German)<br>"		A1
qFsp6Vm-4D	JPCARDS	English Profile Vocabulary::A1	cheap	vocab_17_cheap	JPCARDS	adjective		/tʃiːp/		costing little money or less than is usual or expected	I got a cheap flight at the last minute.<br>Food is usually cheaper in supermarkets.<br>Children and the elderly are entitled to cheap train tickets.<br>The scheme is simple and cheap to operate.	The house rent is very cheap. (Skills for Life (Entry 1); A1; Luganda)		A1
gsS0a78^ZK	JPCARDS	English Profile Vocabulary::A1	man	vocab_18_man	JPCARDS	noun		/mæn/		an adult male human being	a young/tall man<br>men and women<br>the man in the green jacket<br>the men's 400 metres champion	He's a very good man. (Skills for Life (Entry 1); A1; Mandarin)		A1
