#separator:comma
#html:true
#notetype:Exercise
#deck column:1
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'an' before words beginning with a vowel sound (a, e, i, o, u).","It's ___ animal.","an","a","We use 'an' because 'animal' starts with a vowel sound (/æ/).","/æn/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'a' before words beginning with a consonant sound.","I need ___ new bed.","a","an","We use 'a' because 'new' starts with a consonant sound (/n/).","/ə/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'a' before 'u' when it is pronounced /ju:/ (like 'you').","It's ___ useful machine.","a","an","We use 'a' because 'useful' starts with a /j/ sound (consonant sound), not a vowel sound.","/ə/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'a' before words beginning with a consonant sound.","I'm ___ waiter.","a","an","We use 'a' because 'waiter' starts with a consonant sound (/w/).","/ə/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'an' before words beginning with a vowel sound.","Do you have ___ umbrella?","an","a","We use 'an' because 'umbrella' starts with a vowel sound (/ʌ/).","/æn/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'an' before words beginning with a vowel sound.","I'm ___ English teacher.","an","a","We use 'an' because 'English' starts with a vowel sound (/ɪ/).","/æn/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'a' before words beginning with a consonant sound.","Is she ___ student?","a","an","We use 'a' because 'student' starts with a consonant sound (/s/).","/ə/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'an' before words beginning with a vowel sound.","We have ___ ugly duck.","an","a","We use 'an' because 'ugly' starts with a vowel sound (/ʌ/).","/æn/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Use 'an' with words beginning with a silent 'h'.","I need ___ hour.","an","a","We use 'an' because the 'h' in 'hour' is silent, so the word starts with a vowel sound (/aʊ/).","/æn/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","If a noun ends in consonant + -y, change -y to -ies.","Write the plural: a university -> ___","universities","","Remove the 'y' and add 'ies' because there is a consonant before the 'y'.","/ˌjuːnɪˈvɜːrsətiz/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","If a noun ends in -ch, -sh, -s, or -x, add -es.","Write the plural: a sandwich -> ___","sandwiches","","Add 'es' because the word ends in '-ch'.","/ˈsænwɪtʃɪz/"
"Exercises::A/an, plurals: Singular and plural forms","A/an, plurals: Singular and plural forms","Add -s to form the plural of most nouns.","Write the plural: a street -> ___","streets","","Add 's' to the end of the word (regular plural).","/striːts/"
